lineage,sum_counts,Africa count,Asia count,Europe count,North America count,Oceania count,South America count,Africa freq,Asia freq,Europe freq,North America freq,Oceania freq,South America freq
B.1,11170,337,298,1120,8853,419,143,37.52783964365256,14.326923076923077,21.9435736677116,18.47492643836474,3.303374329864396,39.07103825136612
D.2,10974,0,0,0,0,10974,0,0.0,0.0,0.0,0.0,86.51844843897824,0.0
B.1.2,10744,2,1,1,10738,2,0,0.22271714922048996,0.04807692307692308,0.01959247648902821,22.40864792670966,0.015767896562598548,0.0
B.1.1,2249,85,186,779,1021,139,39,9.465478841870825,8.942307692307692,15.262539184952978,2.1306788538992887,1.0958688111005992,10.655737704918032
A.1,2049,0,0,0,1951,98,0,0.0,0.0,0.0,4.071453911809511,0.772626931567329,0.0
B.1.429,1722,0,0,0,1722,0,0,0.0,0.0,0.0,3.5935641394853812,0.0,0.0
B.1.243,1298,1,0,0,1297,0,0,0.11135857461024498,0.0,0.0,2.7066508065694195,0.0,0.0
B.1.1.7,971,95,19,31,826,0,0,10.579064587973273,0.9134615384615385,0.6073667711598746,1.7237421482084352,0.0,0.0
B.1.1.291,806,0,0,0,806,0,0,0.0,0.0,0.0,1.6820050501888604,0.0,0.0
B.1.234,783,0,0,0,783,0,0,0.0,0.0,0.0,1.6340073874663494,0.0,0.0
B.1.596,782,1,0,0,781,0,0,0.11135857461024498,0.0,0.0,1.629833677664392,0.0,0.0
B,721,19,139,137,381,43,2,2.1158129175946545,6.6826923076923075,2.6841692789968654,0.7950917172728981,0.33900977609586885,0.546448087431694
B.1.595,647,0,0,0,646,1,0,0.0,0.0,0.0,1.3481082660322627,0.007883948281299274,0.0
B.1.371,633,0,0,0,633,0,0,0.0,0.0,0.0,1.320979152319539,0.0,0.0
B.1.427,601,0,0,0,601,0,0,0.0,0.0,0.0,1.2541997954882196,0.0,0.0
B.1.369,586,0,0,0,585,1,0,0.0,0.0,0.0,1.2208101170725598,0.007883948281299274,0.0
B.1.240,540,0,0,1,539,0,0,0.0,0.0,0.01959247648902821,1.1248147916275382,0.0,0.0
A,478,28,74,21,308,46,1,3.11804008908686,3.5576923076923075,0.41144200626959243,0.6427513095014503,0.3626616209397666,0.273224043715847
B.1.375,475,0,0,0,475,0,0,0.0,0.0,0.0,0.991256077964899,0.0,0.0
B.1.426,474,0,0,0,474,0,0,0.0,0.0,0.0,0.9891692230639204,0.0,0.0
B.1.564,401,0,0,0,401,0,0,0.0,0.0,0.0,0.8368288152924727,0.0,0.0
B.1.139,396,0,0,0,396,0,0,0.0,0.0,0.0,0.826394540787579,0.0,0.0
B.1.400,379,0,0,0,379,0,0,0.0,0.0,0.0,0.7909180074709405,0.0,0.0
B.1.320,350,0,1,0,344,5,0,0.0,0.04807692307692308,0.0,0.7178780859366849,0.03941974140649637,0.0
B.1.1.519,339,0,0,0,339,0,0,0.0,0.0,0.0,0.7074438114317911,0.0,0.0
B.1.509,331,0,0,0,331,0,0,0.0,0.0,0.0,0.6907489722239613,0.0,0.0
B.1.311,320,0,0,0,320,0,0,0.0,0.0,0.0,0.6677935683131951,0.0,0.0
B.1.1.25,317,0,300,0,10,7,0,0.0,14.423076923076922,0.0,0.020868549009787348,0.05518763796909492,0.0
B.1.1.222,311,0,0,0,311,0,0,0.0,0.0,0.0,0.6490118742043866,0.0,0.0
B.1.517,273,0,0,0,273,0,0,0.0,0.0,0.0,0.5697113879671947,0.0,0.0
B.1.22,236,0,0,226,2,8,0,0.0,0.0,4.427899686520377,0.00417370980195747,0.06307158625039419,0.0
B.1.384,224,0,0,0,224,0,0,0.0,0.0,0.0,0.4674554978192367,0.0,0.0
B.1.232,202,0,0,0,202,0,0,0.0,0.0,0.0,0.42154468999770445,0.0,0.0
B.1.36.8,202,0,190,0,12,0,0,0.0,9.134615384615383,0.0,0.02504225881174482,0.0,0.0
B.1.160,190,11,1,167,11,0,0,1.2249443207126949,0.04807692307692308,3.2719435736677114,0.022955403910766087,0.0,0.0
B.1.349,189,0,0,0,189,0,0,0.0,0.0,0.0,0.3944155762849809,0.0,0.0
B.1.177,188,17,1,154,16,0,0,1.893095768374165,0.04807692307692308,3.0172413793103448,0.03338967841565976,0.0,0.0
A.2.2,182,0,0,0,2,180,0,0.0,0.0,0.0,0.00417370980195747,1.4191106906338695,0.0
B.1.565,177,0,0,0,177,0,0,0.0,0.0,0.0,0.3693733174732361,0.0,0.0
B.1.8,172,0,2,134,33,3,0,0.0,0.09615384615384616,2.6253918495297808,0.06886621173229826,0.023651844843897825,0.0
B.1.110.3,171,0,0,0,171,0,0,0.0,0.0,0.0,0.3568521880673637,0.0,0.0
B.1.1.26,170,0,0,0,170,0,0,0.0,0.0,0.0,0.354765333166385,0.0,0.0
B.1.582,170,0,0,0,170,0,0,0.0,0.0,0.0,0.354765333166385,0.0,0.0
B.1.1.70,167,0,0,167,0,0,0,0.0,0.0,3.2719435736677114,0.0,0.0,0.0
A.3,166,0,1,0,164,1,0,0.0,0.04807692307692308,0.0,0.3422442037605125,0.007883948281299274,0.0
B.1.241,160,0,0,0,160,0,0,0.0,0.0,0.0,0.33389678415659757,0.0,0.0
B.1.425,159,0,0,0,159,0,0,0.0,0.0,0.0,0.33180992925561886,0.0,0.0
B.6,155,1,86,2,34,32,0,0.11135857461024498,4.134615384615384,0.03918495297805642,0.07095306663327698,0.25228634500157676,0.0
B.1.1.39,153,0,0,152,1,0,0,0.0,0.0,2.978056426332288,0.002086854900978735,0.0,0.0
B.1.503,151,0,0,0,151,0,0,0.0,0.0,0.0,0.315115090047789,0.0,0.0
