lineage,count,freq
B.1,11170,16.17644929110368
D.2,10974,15.892601120910632
B.1.2,10744,15.55951398241879
B.1.1,2249,3.2570129324702033
A.1,2049,2.9673719424772993
B.1.429,1722,2.493808923838902
B.1.243,1298,1.8797700250539457
B.1.1.7,971,1.4062070064155479
B.1.1.291,806,1.1672531896714022
B.1.234,783,1.1339444758222184
B.1.596,782,1.132496270872254
B,721,1.044155768924418
B.1.595,647,0.9369886026270438
B.1.371,633,0.9167137333275405
B.1.427,601,0.8703711749286759
B.1.369,586,0.8486481006792082
B.1.240,540,0.7820306729808402
A,478,0.6922419660830401
B.1.375,475,0.6878973512331465
B.1.426,474,0.686449146283182
B.1.564,401,0.5807301849357721
B.1.139,396,0.5734891601859495
B.1.400,379,0.5488696760365527
B.1.320,350,0.5068717324875817
B.1.1.519,339,0.4909414780379719
B.1.509,331,0.4793558384382558
B.1.311,320,0.4634255839886461
B.1.1.25,317,0.4590809691387525
B.1.1.222,311,0.45039173943896543
B.1.517,273,0.3953599513403137
B.1.22,236,0.3417763681916265
B.1.384,224,0.32439790879205227
B.1.232,202,0.29253739989283284
B.1.36.8,202,0.29253739989283284
B.1.160,190,0.2751589404932586
B.1.349,189,0.27371073554329406
B.1.177,188,0.2722625305933296
A.2.2,182,0.2635733008935424
B.1.565,177,0.2563322761437199
B.1.8,172,0.24909125139389726
B.1.110.3,171,0.24764304644393276
B.1.1.26,170,0.24619484149396823
B.1.582,170,0.24619484149396823
B.1.1.70,167,0.24185022664407466
A.3,166,0.24040202169411015
B.1.241,160,0.23171279199432304
B.1.425,159,0.2302645870443585
B.6,155,0.22447176724450044
B.1.1.39,153,0.2215753573445714
B.1.503,151,0.21867894744464236
B.1.577,148,0.2143343325947488
B.1.1.464,146,0.21143792269481976
D.3,144,0.20854151279489072
B.40,142,0.20564510289496168
B.1.1.434,140,0.20274869299503265
B.1.305,138,0.1998522830951036
B.1.609,137,0.19840407814513908
B.1.332,136,0.1969558731951746
B.1.1.316,131,0.18971484844535197
B.1.112,130,0.18826664349538746
C.36,124,0.17957741379560035
B.1.561,124,0.17957741379560035
B.1.1.219,119,0.17233638904577775
B.1.396,119,0.17233638904577775
B.1.1.416,119,0.17233638904577775
B.1.177.44,117,0.1694399791458487
B.1.453,115,0.16654356924591968
B.1.1.186,113,0.16364715934599064
B.1.110,112,0.16219895439602613
B.1.366,109,0.15785433954613257
B.1.124,105,0.1520615197462745
B.1.162,104,0.15061331479630996
B.1.1.207,104,0.15061331479630996
B.1.199,103,0.14916510984634546
B.1.346,99,0.14337229004648738
B.1.1.174,98,0.14192408509652285
B.1.338,97,0.14047588014655835
B.1.399,96,0.13902767519659381
B.11,92,0.13323485539673574
B.1.433,92,0.13323485539673574
B.1.612,90,0.1303384454968067
B.1.1.228,90,0.1303384454968067
B.1.23,89,0.12889024054684217
B.1.568,89,0.12889024054684217
C.35,88,0.12744203559687767
B.3,87,0.12599383064691314
B.1.206,86,0.12454562569694863
B.1.177.23,86,0.12454562569694863
B.1.1.135,83,0.12020101084705508
B.1.409,83,0.12020101084705508
B.1.268,82,0.11875280589709056
B.1.1.180,80,0.11585639599716152
B.55,79,0.114408191047197
P.2,79,0.114408191047197
B.1.190,78,0.11295998609723247
B.1.265,77,0.11151178114726795
B.1.361,77,0.11151178114726795
B.1.1.231,76,0.11006357619730343
B.4.5,75,0.10861537124733892
B.1.576,75,0.10861537124733892
A.2,73,0.10571896134740988
B.1.356,73,0.10571896134740988
B.1.370,69,0.0999261415475518
B.1.1.192,68,0.0984779365975873
B.1.413,68,0.0984779365975873
B.1.1.376,67,0.09702973164762277
B.1.1.304,67,0.09702973164762277
B.1.324,67,0.09702973164762277
B.1.314,67,0.09702973164762277
B.1.301,67,0.09702973164762277
B.1.404,66,0.09558152669765825
B.1.1.1,66,0.09558152669765825
B.1.36,65,0.09413332174769373
B.1.588,63,0.0912369118477647
B.1.37,63,0.0912369118477647
B.1.1.432,62,0.08978870689780018
B.1.1.225,62,0.08978870689780018
B.4,61,0.08834050194783566
B.1.367,61,0.08834050194783566
B.1.108,61,0.08834050194783566
B.1.1.453,60,0.08689229699787113
B.1.113,60,0.08689229699787113
B.1.1.486,59,0.08544409204790662
B.1.319,58,0.0839958870979421
B.1.390,58,0.0839958870979421
B.1.264,58,0.0839958870979421
B.1.336,57,0.08254768214797759
B.1.451,57,0.08254768214797759
B.1.439,56,0.08109947719801307
B.1.554,55,0.07965127224804855
B.1.298,55,0.07965127224804855
B.1.435,54,0.07820306729808403
B.1.551,54,0.07820306729808403
B.1.403,53,0.0767548623481195
B.1.1.61,51,0.07385845244819046
B.1.210,50,0.07241024749822594
B.1.416.1,50,0.07241024749822594
B.1.377,49,0.07096204254826143
B.1.1.33,49,0.07096204254826143
B.1.448,48,0.06951383759829691
B.1.258,48,0.06951383759829691
B.1.595.1,48,0.06951383759829691
B.1.126,48,0.06951383759829691
B.1.521,48,0.06951383759829691
B.1.96,48,0.06951383759829691
B.1.239,48,0.06951383759829691
B.1.515,47,0.0680656326483324
A.5,47,0.0680656326483324
B.1.492,46,0.06661742769836787
B.1.3,45,0.06516922274840335
B.1.280,44,0.06372101779843883
B.1.166,44,0.06372101779843883
B.1.14,44,0.06372101779843883
B.1.385,42,0.0608246078985098
B.1.1.71,42,0.0608246078985098
B.1.236,42,0.0608246078985098
B.1.1.265,41,0.05937640294854528
B.1.1.132,41,0.05937640294854528
B.1.93,40,0.05792819799858076
B.1.340,40,0.05792819799858076
B.1.391,40,0.05792819799858076
B.1.1.205,39,0.056479993048616235
B.1.1.306,38,0.05503178809865172
B.1.78,38,0.05503178809865172
B.1.1.368,37,0.0535835831486872
B.1.1.290,36,0.05213537819872268
B.1.1.136,36,0.05213537819872268
B.1.247,36,0.05213537819872268
B.1.567,36,0.05213537819872268
B.1.382,36,0.05213537819872268
B.20,36,0.05213537819872268
B.1.306,36,0.05213537819872268
B.1.281,36,0.05213537819872268
C.23,36,0.05213537819872268
B.1.119,35,0.05068717324875816
B.1.91,34,0.04923896829879365
B.1.402,34,0.04923896829879365
B.1.1.63,33,0.047790763348829125
B.1.558,33,0.047790763348829125
B.1.437,33,0.047790763348829125
B.43,33,0.047790763348829125
B.1.1.229,32,0.04634255839886461
B.1.220,32,0.04634255839886461
B.46,32,0.04634255839886461
B.1.111,32,0.04634255839886461
B.1.1.337,32,0.04634255839886461
B.1.452,32,0.04634255839886461
B.1.9,31,0.04489435344890009
B.1.213,31,0.04489435344890009
B.1.287,30,0.04344614849893556
B.1.258.23,30,0.04344614849893556
B.1.1.10,30,0.04344614849893556
B.1.274,29,0.04199794354897105
B.1.38,29,0.04199794354897105
B.1.599,29,0.04199794354897105
B.1.428.1,29,0.04199794354897105
B.1.328,29,0.04199794354897105
B.31,28,0.040549738599006534
B.1.1.158,28,0.040549738599006534
B.1.415,28,0.040549738599006534
A.4,28,0.040549738599006534
B.1.436,28,0.040549738599006534
B.1.1.111,28,0.040549738599006534
B.1.544,28,0.040549738599006534
B.1.337,27,0.039101533649042015
B.1.187,27,0.039101533649042015
B.1.1.277,27,0.039101533649042015
B.1.498,26,0.03765332869907749
B.1.1.348,26,0.03765332869907749
B.1.143,25,0.03620512374911297
B.1.201,25,0.03620512374911297
B.1.1.329,25,0.03620512374911297
B.1.580,25,0.03620512374911297
B.1.442,25,0.03620512374911297
B.19,25,0.03620512374911297
N.1,25,0.03620512374911297
B.1.36.16,24,0.034756918799148454
B.1.1.47,24,0.034756918799148454
B.1.170,24,0.034756918799148454
AE.6,24,0.034756918799148454
B.1.330,23,0.033308713849183935
B.1.1.282,23,0.033308713849183935
B.4.4,23,0.033308713849183935
B.1.360,22,0.03186050889921942
B.1.146,22,0.03186050889921942
B.1.294,22,0.03186050889921942
B.1.508,22,0.03186050889921942
B.1.1.244,22,0.03186050889921942
B.59,22,0.03186050889921942
B.1.1.284,22,0.03186050889921942
B.1.471,22,0.03186050889921942
B.13,21,0.0304123039492549
B.1.1.50,21,0.0304123039492549
B.1.189,21,0.0304123039492549
B.1.181,21,0.0304123039492549
B.39,21,0.0304123039492549
B.1.106,21,0.0304123039492549
N.4,21,0.0304123039492549
B.1.9.5,21,0.0304123039492549
B.1.1.181,21,0.0304123039492549
B.1.421,20,0.02896409899929038
B.1.1.172,20,0.02896409899929038
B.1.323,20,0.02896409899929038
B.1.1.362,20,0.02896409899929038
B.1.318,20,0.02896409899929038
B.1.1.128,20,0.02896409899929038
R.1,20,0.02896409899929038
B.1.610,20,0.02896409899929038
B.1.507,20,0.02896409899929038
B.1.494,19,0.02751589404932586
B.1.501,19,0.02751589404932586
B.1.1.344,19,0.02751589404932586
B.1.602,19,0.02751589404932586
B.1.378,19,0.02751589404932586
B.1.546,18,0.02606768909936134
B.1.1.139,18,0.02606768909936134
B.1.574,18,0.02606768909936134
B.1.575,18,0.02606768909936134
B.30,18,0.02606768909936134
B.1.1.251,18,0.02606768909936134
B.51,18,0.02606768909936134
B.1.478,18,0.02606768909936134
B.1.594,18,0.02606768909936134
B.28,18,0.02606768909936134
B.1.160.14,18,0.02606768909936134
B.1.335,17,0.024619484149396825
B.1.104,17,0.024619484149396825
B.1.221,17,0.024619484149396825
B.1.1.28,17,0.024619484149396825
B.1.348,17,0.024619484149396825
B.1.1.214,17,0.024619484149396825
B.1.1.8,17,0.024619484149396825
B.1.225,16,0.023171279199432303
B.1.310,16,0.023171279199432303
B.1.1.77,16,0.023171279199432303
B.1.591,15,0.02172307424946778
AE.7,15,0.02172307424946778
A.2.5,15,0.02172307424946778
B.1.1.285,15,0.02172307424946778
B.29,15,0.02172307424946778
B.1.1.450,15,0.02172307424946778
B.1.293,15,0.02172307424946778
B.1.1.485,15,0.02172307424946778
B.1.267,14,0.020274869299503267
B.1.1.198,14,0.020274869299503267
B.1.595.4,14,0.020274869299503267
B.1.493,14,0.020274869299503267
B.1.479,14,0.020274869299503267
B.6.6,14,0.020274869299503267
B.1.1.239,14,0.020274869299503267
N.6,14,0.020274869299503267
AE.4,14,0.020274869299503267
B.35,14,0.020274869299503267
B.1.444,14,0.020274869299503267
B.1.605,14,0.020274869299503267
B.1.351,14,0.020274869299503267
B.1.36.31,14,0.020274869299503267
B.1.1.518,14,0.020274869299503267
B.1.160.16,14,0.020274869299503267
B.1.1.380,14,0.020274869299503267
B.1.184,14,0.020274869299503267
B.1.128,13,0.018826664349538745
B.1.1.144,13,0.018826664349538745
B.1.595.3,13,0.018826664349538745
B.1.304,13,0.018826664349538745
B.1.590,13,0.018826664349538745
B.1.587,13,0.018826664349538745
B.1.586,13,0.018826664349538745
B.1.389,13,0.018826664349538745
B.1.397,13,0.018826664349538745
AE.2,13,0.018826664349538745
B.1.313,13,0.018826664349538745
B.1.541,13,0.018826664349538745
B.1.499,13,0.018826664349538745
B.12,12,0.017378459399574227
B.1.325,12,0.017378459399574227
A.6,12,0.017378459399574227
B.1.359,12,0.017378459399574227
B.1.1.269,12,0.017378459399574227
B.1.1.418,12,0.017378459399574227
B.1.485,12,0.017378459399574227
B.1.13,12,0.017378459399574227
B.1.1.463,12,0.017378459399574227
W.1,12,0.017378459399574227
B.1.1.258,12,0.017378459399574227
B.1.441,12,0.017378459399574227
B.4.7,12,0.017378459399574227
B.1.1.113,12,0.017378459399574227
L.2,11,0.01593025444960971
B.1.523,11,0.01593025444960971
B.1.539,11,0.01593025444960971
R.2,11,0.01593025444960971
B.1.223,11,0.01593025444960971
B.1.570,11,0.01593025444960971
B.1.160.15,11,0.01593025444960971
B.1.606,11,0.01593025444960971
B.1.443,11,0.01593025444960971
B.1.1.351,11,0.01593025444960971
B.1.1.482,11,0.01593025444960971
B.1.603,11,0.01593025444960971
B.1.145,10,0.01448204949964519
B.1.157,10,0.01448204949964519
B.1.552,10,0.01448204949964519
B.1.1.168,10,0.01448204949964519
B.1.334,10,0.01448204949964519
B.1.423,10,0.01448204949964519
B.1.103,10,0.01448204949964519
B.1.525,10,0.01448204949964519
B.1.302,10,0.01448204949964519
B.1.9.2,10,0.01448204949964519
B.58,9,0.01303384454968067
B.1.1.241,9,0.01303384454968067
C.17,9,0.01303384454968067
B.1.309,9,0.01303384454968067
B.1.450,9,0.01303384454968067
C.26,9,0.01303384454968067
B.61,9,0.01303384454968067
B.1.589,9,0.01303384454968067
B.1.1.226,9,0.01303384454968067
B.1.1.189,9,0.01303384454968067
B.1.1.423,9,0.01303384454968067
B.1.466,9,0.01303384454968067
B.1.502,8,0.011585639599716152
B.1.258.17,8,0.011585639599716152
B.1.1.521,8,0.011585639599716152
B.1.500,8,0.011585639599716152
B.1.1.298,8,0.011585639599716152
B.1.1.116,8,0.011585639599716152
B.1.434,8,0.011585639599716152
B.1.543,8,0.011585639599716152
B.1.276,8,0.011585639599716152
B.1.1.322,8,0.011585639599716152
B.1.1.58,8,0.011585639599716152
B.1.520,8,0.011585639599716152
C.31,8,0.011585639599716152
A.11,8,0.011585639599716152
B.23,7,0.010137434649751633
B.1.1.441,7,0.010137434649751633
B.1.1.175,7,0.010137434649751633
C.5,7,0.010137434649751633
B.1.1.372,7,0.010137434649751633
B.1.578,7,0.010137434649751633
N.3,7,0.010137434649751633
B.1.446,7,0.010137434649751633
B.1.556,7,0.010137434649751633
B.1.398,7,0.010137434649751633
B.1.1.216,7,0.010137434649751633
B.1.1.512,7,0.010137434649751633
A.28,7,0.010137434649751633
B.1.341,7,0.010137434649751633
B.1.1.257,7,0.010137434649751633
N.7,7,0.010137434649751633
B.1.1.185,6,0.008689229699787113
B.1.1.317,6,0.008689229699787113
P.1,6,0.008689229699787113
B.1.1.268,6,0.008689229699787113
B.1.1.320,6,0.008689229699787113
L.3,6,0.008689229699787113
B.1.355,6,0.008689229699787113
B.1.526,6,0.008689229699787113
B.1.429.1,6,0.008689229699787113
B.1.188,6,0.008689229699787113
B.1.438.4,6,0.008689229699787113
B.1.160.31,6,0.008689229699787113
B.1.483,6,0.008689229699787113
B.1.153,6,0.008689229699787113
B.1.1.359,6,0.008689229699787113
B.1.1.514,6,0.008689229699787113
B.1.1.3,6,0.008689229699787113
B.41,6,0.008689229699787113
B.1.571,5,0.007241024749822595
B.1.147,5,0.007241024749822595
B.1.428.2,5,0.007241024749822595
B.1.1.392,5,0.007241024749822595
B.1.1.101,5,0.007241024749822595
B.1.383,5,0.007241024749822595
