#node	date	numeric date
NODE_0000001	2019-12-20	2019.967493
NODE_0000015	2019-12-20	2019.967493
LR878247	2020-03-03	2020.169747
NODE_0000016	2020-01-10	2020.024909
MT188341	2020-03-05	2020.175222
LR883950	2020-03-10	2020.188912
LR878309	2020-03-08	2020.183436
NODE_0000005	2019-12-30	2019.994637
LR878287	2020-03-06	2020.177960
NODE_0000006	2019-12-31	2019.999097
LR963279	2020-03-21	2020.219028
NODE_0000004	2020-01-28	2020.075348
LR878241	2020-03-01	2020.164271
NODE_0000021	2020-02-20	2020.138512
LR878361	2020-02-29	2020.161533
LR878223	2020-03-01	2020.164271
NODE_0000000	2020-01-23	2020.061554
NODE_0000003	2020-02-22	2020.144051
LR883377	2020-03-16	2020.205339
LR883578	2020-04-23	2020.309377
NODE_0000008	2020-02-06	2020.101008
LR883598	2020-04-10	2020.273785
LR883407	2020-04-28	2020.323066
NODE_0000024	2020-01-31	2020.083100
LR883768	2020-03-10	2020.188912
NODE_0000028	2020-02-10	2020.111347
LR883017	2020-03-17	2020.208077
LR883808	2020-04-19	2020.298426
NODE_0000025	2020-02-19	2020.135600
LR883494	2020-04-01	2020.249144
NODE_0000026	2020-03-08	2020.185119
LR883928	2020-04-07	2020.265572
LR883255	2020-04-26	2020.317591
NODE_0000029	2020-02-14	2020.120492
LR883868	2020-04-05	2020.260096
LR883534	2020-03-26	2020.232717
NODE_0000030	2020-02-21	2020.140825
LR878251	2020-03-02	2020.167009
LR883553	2020-03-21	2020.219028
NODE_0000033	2020-03-06	2020.179135
LR963280	2020-03-22	2020.221766
LR883308	2020-04-02	2020.251882
NODE_0000034	2020-03-18	2020.210815
LR883186	2020-03-18	2020.210815
LR883141	2020-03-28	2020.238193
NODE_0000020	2020-02-15	2020.125500
LR883448	2020-03-27	2020.235455
NODE_0000017	2020-02-28	2020.158795
LR883892	2020-03-25	2020.229979
LR878220	2020-02-28	2020.158795
NODE_0000018	2020-01-23	2020.061554
LR878358	2020-03-01	2020.164271
NODE_0000019	2020-01-31	2020.084324
NODE_0000013	2020-02-14	2020.122016
LR883456	2020-03-26	2020.232717
LR883029	2020-03-13	2020.197125
LR883021	2020-04-08	2020.268309
NODE_0000022	2020-02-13	2020.118018
LR883798	2020-04-02	2020.251882
NODE_0000023	2020-02-13	2020.118018
NODE_0000010	2020-02-24	2020.149545
LR883856	2020-04-05	2020.260096
LR963240	2020-03-16	2020.205339
LR963289	2020-03-17	2020.208077
NODE_0000027	2020-02-13	2020.119454
LR883750	2020-04-13	2020.281999
NODE_0000031	2020-02-13	2020.119454
LR878221	2020-02-29	2020.161533
LR878284	2020-03-04	2020.172485
