type,region,group,slope,r,pval,counts,max_percent
lineage,Africa,A,,0.0,,2,0.3333333333333333
lineage,Africa,A.11,0.0,0.0,1.0,0,0.0
lineage,Africa,A.12,0.0,0.0,1.0,0,0.0
lineage,Africa,A.21,0.0,0.0,1.0,0,0.0
lineage,Africa,A.23.1,0.0,0.0,1.0,0,0.0
lineage,Africa,A.28,0.0,0.0,1.0,0,0.0
lineage,Africa,B,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1,,0.0,,3,0.5
lineage,Africa,B.1.1,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.1,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.111,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.174,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.189,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.198,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.353,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.359,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.404,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.420,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.459,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.485,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.487,,0.0,,1,0.16666666666666666
lineage,Africa,B.1.1.57,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.1.7,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.153,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.160,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.170,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.177,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.177.6,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.177.7,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.177.81,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.2,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.201,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.220,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.243,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.258.21,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.351,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.356,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.36,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.361,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.379,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.398,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.428.2,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.441,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.466,0.0,0.0,1.0,0,0.0
lineage,Africa,B.1.466.1,0.0,0.0,1.0,0,0.0
