region,collection_week,group,counts,location_counts,percent
Africa,2020-08-24,B.1,12,56,0.21428571428571427
Africa,2020-08-31,B.1.1,1,1,1.0
Africa,2020-09-14,B.1.1.198,1,1,1.0
Africa,2020-09-21,B.1.177,1,1,1.0
Africa,2020-09-28,B.1.255,1,2,0.5
Africa,2020-09-28,B.1.36.6,1,2,0.5
Africa,2020-10-12,B.1,1,5,0.2
Africa,2020-10-12,B.1.1.1,2,5,0.4
Africa,2020-10-12,B.1.1.198,1,5,0.2
Africa,2020-10-12,B.1.177.14,1,5,0.2
Africa,2020-10-19,B.1.1.1,1,2,0.5
Africa,2020-10-19,B.1.177.14,1,2,0.5
Africa,2020-10-26,B.1,2,6,0.3333333333333333
Africa,2020-10-26,B.1.1,1,6,0.16666666666666666
Africa,2020-10-26,B.1.160,2,6,0.3333333333333333
Africa,2020-10-26,B.1.177,1,6,0.16666666666666666
Africa,2020-11-02,B.1,1,10,0.1
Africa,2020-11-02,B.1.1,1,10,0.1
Africa,2020-11-02,B.1.160,5,10,0.5
Africa,2020-11-02,B.1.177,1,10,0.1
Africa,2020-11-02,B.1.177.19,1,10,0.1
Africa,2020-11-02,B.1.367,1,10,0.1
Africa,2020-11-09,B.1.1,2,3,0.6666666666666666
Africa,2020-11-09,B.1.160,1,3,0.3333333333333333
Africa,2020-11-16,B.1.1.1,6,9,0.6666666666666666
Africa,2020-11-16,B.1.255,3,9,0.3333333333333333
Africa,2020-11-23,B.1,2,5,0.4
Africa,2020-11-23,B.1.1.189,1,5,0.2
Africa,2020-11-23,B.1.160,1,5,0.2
Africa,2020-11-23,B.1.9,1,5,0.2
Africa,2020-11-30,B.1,1,3,0.3333333333333333
Africa,2020-11-30,B.1.177,1,3,0.3333333333333333
Africa,2020-11-30,B.1.258,1,3,0.3333333333333333
Africa,2020-12-07,B.1,1,2,0.5
Africa,2020-12-07,B.1.1.7,1,2,0.5
Africa,2020-12-14,B.1.1.7,1,1,1.0
Africa,2020-12-21,A,3,104,0.028846153846153848
Africa,2020-12-21,B,3,104,0.028846153846153848
Africa,2020-12-21,B.1,15,104,0.14423076923076922
Africa,2020-12-21,B.1.1,1,104,0.009615384615384616
Africa,2020-12-21,B.1.1.1,50,104,0.4807692307692308
Africa,2020-12-21,B.1.1.186,1,104,0.009615384615384616
Africa,2020-12-21,B.1.1.34,1,104,0.009615384615384616
Africa,2020-12-21,B.1.1.44,1,104,0.009615384615384616
Africa,2020-12-21,B.1.1.7,17,104,0.16346153846153846
Africa,2020-12-21,B.1.1.71,2,104,0.019230769230769232
Africa,2020-12-21,B.1.177.6,1,104,0.009615384615384616
Africa,2020-12-21,B.1.255,1,104,0.009615384615384616
Africa,2020-12-21,B.1.262,1,104,0.009615384615384616
Africa,2020-12-21,B.1.36,1,104,0.009615384615384616
Africa,2020-12-21,B.1.361,1,104,0.009615384615384616
Africa,2020-12-21,B.1.5,3,104,0.028846153846153848
Africa,2020-12-21,C.10,2,104,0.019230769230769232
Africa,2020-12-28,A,3,54,0.05555555555555555
Africa,2020-12-28,B,1,54,0.018518518518518517
Africa,2020-12-28,B.1,11,54,0.2037037037037037
Africa,2020-12-28,B.1.1,2,54,0.037037037037037035
Africa,2020-12-28,B.1.1.1,19,54,0.35185185185185186
Africa,2020-12-28,B.1.1.184,1,54,0.018518518518518517
