subtype,reference,name,segment,segments,protein_coding,residue_offset,notes,domains
SARS-CoV-2,WIV04,nsp1,1,266..805,1,0,Suppress host antiviral response. produced by both pp1a and pp1ab,[]
SARS-CoV-2,WIV04,nsp2,1,806..2719,1,0,produced by both pp1a and pp1ab. Interacts with host PHB and PHB2. 181..818 relative to ORF1a start.,"[{""name"": ""Leucine-rich repeat 1"", ""ranges"": [[365, 389]]}, {""name"": ""Leucine-rich repeat 2"", ""ranges"": [[517, 539]]}]"
SARS-CoV-2,WIV04,nsp3 - PL2-PRO,1,2720..8554,1,0,"nsp3-nsp4-nsp6 complex involved in viral replication. former nsp1; conserved domains are: N-terminal acidic (Ac), predicted phosphoesterase, papain-like proteinase (PL-pro), Y-domain, transmembrane domain 1 (TM1), adenosine diphosphate-ribose 1''-phosphatase (ADRP); produced by both pp1a and pp1ab. 819..2763 relative to ORF1a start","[{""name"": ""Macro"", ""ranges"": [[207, 376]]}, {""name"": ""Peptidase C16"", ""ranges"": [[816, 1080]]}, {""name"": ""Leucine-rich repeat 3"", ""ranges"": [[862, 884]]}, {""name"": ""Zinc finger (C4 type)"", ""ranges"": [[934, 971]]}, {""name"": ""All Transmembrane"", ""ranges"": [[1408, 1428], [1500, 1520]]}, {""name"": ""All Cytoplasmic"", ""ranges"": [[1, 1407], [1520, 1945]]}, {""name"": ""Cytoplasmic 1"", ""ranges"": [[1, 1407]]}, {""name"": ""Transmembrane 1, helical"", ""ranges"": [[1408, 1428]]}, {""name"": ""Lumenal"", ""ranges"": [[1429, 1499]]}, {""name"": ""Transmembrane 2, helical"", ""ranges"": [[1500, 1520]]}, {""name"": ""Cytoplasmic 2"", ""ranges"": [[1520, 1945]]}]"
SARS-CoV-2,WIV04,nsp4,1,8555..10054,1,0,nsp3-nsp4-nsp6 complex involved in viral replication. nsp4B_TM; contains transmembrane domain 2 (TM2); produced by both pp1a and pp1ab. Interacts with PL-Pro and nsp6. 2764..3263 relative to ORF1a start,"[{""name"": ""Leucine-rich repeat 4"", ""ranges"": [[422, 444]]}, {""name"": ""All Cytoplasmic"", ""ranges"": [[1, 12], [303, 336], [386, 500]]}, {""name"": ""All Transmembrane"", ""ranges"": [[13, 33], [282, 302], [337, 357], [365, 385]]}, {""name"": ""All Lumenal"", ""ranges"": [[34, 281], [358, 364]]}, {""name"": ""Cytoplasmic 1"", ""ranges"": [[1, 12]]}, {""name"": ""Transmembrane 1, helical"", ""ranges"": [[13, 33]]}, {""name"": ""Lumenal 1"", ""ranges"": [[34, 281]]}, {""name"": ""Transmembrane 2, helical"", ""ranges"": [[282, 302]]}, {""name"": ""Cytoplasmic 2"", ""ranges"": [[303, 336]]}, {""name"": ""Transmembrane 3, helical"", ""ranges"": [[337, 357]]}, {""name"": ""Lumenal 2"", ""ranges"": [[358, 364]]}, {""name"": ""Transmembrane 4, helical"", ""ranges"": [[365, 385]]}, {""name"": ""Cytoplasmic 3"", ""ranges"": [[386, 500]]}]"
SARS-CoV-2,WIV04,nsp5 - 3CLp,1,10055..10972,1,0,"3C-like protease. nsp5A_3CLpro and nsp5B_3CLpro; main proteinase (Mpro); mediates cleavages downstream of nsp4. 3D structure of the SARSr-CoV homolog has been determined (Yang et al., 2003); produced by both pp1a and pp1ab. 3CL-pro exists as a monomer and homodimer. Only the homodimer shows catalytic activity. 3264..3569 relative to ORF1a start","[{""name"": ""Peptidase C30"", ""ranges"": [[1, 306]]}, {""name"": ""Cytoplasmic"", ""ranges"": [[1, 306]]}]"
SARS-CoV-2,WIV04,nsp6,1,10973..11842,1,0,nsp3-nsp4-nsp6 complex involved in viral replication. nsp6_TM; putative transmembrane domain; produced by both pp1a and pp1ab. 3570..3859 relative to ORF1a start,"[{""name"": ""Cytoplasmic 1"", ""ranges"": [[1, 17]]}, {""name"": ""Transmembrane 1, helical"", ""ranges"": [[18, 38]]}, {""name"": ""Lumenal 1"", ""ranges"": [[39, 39]]}, {""name"": ""Transmembrane 2, helical"", ""ranges"": [[40, 60]]}, {""name"": ""Cytoplasmic 2"", ""ranges"": [[61, 65]]}, {""name"": ""Transmembrane 3, helical"", ""ranges"": [[66, 86]]}, {""name"": ""Lumenal 2"", ""ranges"": [[87, 104]]}, {""name"": ""Transmembrane 4, helical"", ""ranges"": [[105, 125]]}, {""name"": ""Cytoplasmic 3"", ""ranges"": [[126, 160]]}, {""name"": ""Transmembrane 5, helical"", ""ranges"": [[161, 181]]}, {""name"": ""Lumenal 3"", ""ranges"": [[182, 209]]}, {""name"": ""Transmembrane 6, helical"", ""ranges"": [[210, 230]]}, {""name"": ""Cytoplasmic 4"", ""ranges"": [[231, 290]]}]"
SARS-CoV-2,WIV04,nsp7,1,11843..12091,1,0,nsp7-nsp8 complex is part of RNA polymerase. produced by both pp1a and pp1ab. Eight copies of nsp7 and eight copies of nsp8 assemble to form a heterohexadecamer dsRNA-encircling ring structure (by similarity). 3860..3942 relative to ORF1a start,"[{""name"": ""Leucine-rich repeat 5 (partial)"", ""ranges"": [[76, 83]]}]"
SARS-CoV-2,WIV04,nsp8,1,12092..12685,1,0,nsp7-nsp8 complex is part of RNA polymerase. produced by both pp1a and pp1ab. Eight copies of nsp7 and eight copies of nsp8 assemble to form a heterohexadecamer dsRNA-encircling ring structure (by similarity). 3943..4140 relative to ORF1a start,"[{""name"": ""Leucine-rich repeat 5 (partial)"", ""ranges"": [[1, 17]]}, {""name"": ""Leucine-rich repeat 6"", ""ranges"": [[35, 62]]}]"
SARS-CoV-2,WIV04,nsp9,1,12686..13024,1,0,ssRNA-binding protein; produced by both pp1a and pp1ab. Is a dimer. 4141..4253 relative to ORF1a start,[]
SARS-CoV-2,WIV04,nsp10 - CysHis,1,13025..13441,1,0,Essential for nsp16 methyltransferase activity. nsp10_CysHis; formerly known as growth-factor-like protein (GFL); produced by both pp1a and pp1ab. Forms a dodecamer and interacts with nsp14 and nsp16. These interactions enhance nsp14 and nsp16 enzymatic activities. 4254..4392 relative to ORF1a start,[]
