Accession ID,subtype,genotype
KX262640,B,BAIX
KX262640,B,BAIX
KX262640,B,BAIX
KX262640,B,BAVII
KX262640,B,BAVII
KX262663,B,BAIX
KX262663,B,BAIX
KX262663,B,BAVII
KX262663,B,BAVII
KX262663,B,BAIX
KX262663,B,BAVIII
KX262641,B,BAIX
KX262641,B,BAIX
KX262641,B,BAVII
KX262641,B,BAVII
KX262641,B,BAIX
KX262641,B,BAVIII
KX262642,B,BAIX
KX262642,B,BAIX
KX262642,B,BAIX
KX262642,B,BAVII
KX262642,B,BAVII
KX262643,B,BAIX
KX262643,B,BAIX
KX262643,B,BAIX
KX262643,B,BAVII
KX262643,B,BAIX
KX262644,B,BAIX
KX262644,B,BAIX
KX262644,B,BAIX
KX262644,B,BAIX
KX262644,B,BAVII
KX262664,B,BAIX
KX262664,B,BAIX
KX262664,B,BAIX
KX262664,B,BAVII
KX262664,B,BAVII
KX262645,B,BAIX
KX262645,B,BAIX
KX262645,B,BAIX
KX262645,B,BAVII
KX262645,B,BAVII
KX262645,B,BAVIII
KX262646,B,BAIX
KX262646,B,BAIX
KX262646,B,BAIX
KX262646,B,BAVII
KX262646,B,BAIX
KX262647,B,BAIX
KX262647,B,BAIX
KX262647,B,BAIX
KX262647,B,BAVII
KX262647,B,BAVII
KX262648,B,BAIX
KX262648,B,BAIX
KX262648,B,BAIX
KX262648,B,BAVII
KX262648,B,BAVII
KX262648,B,BAIV
KX262649,B,BAIX
KX262649,B,BAIX
KX262649,B,BAIX
KX262649,B,BAIX
KX262649,B,BAVII
KX262625,B,BAIX
KX262625,B,BAIX
KX262625,B,BAIX
KX262625,B,BAIX
KX262625,B,BAVII
KX262625,B,BAIV
KX262650,B,BAIX
KX262650,B,BAIX
KX262650,B,BAIX
KX262650,B,BAVII
KX262650,B,BAIX
KX262626,B,BAIX
KX262626,B,BAIX
KX262626,B,BAIX
KX262626,B,BAIX
KX262626,B,BAVII
KX262626,B,BAIV
KX262665,B,BAIX
KX262665,B,BAIX
KX262665,B,BAIX
KX262665,B,BAVII
KX262665,B,BAIX
KX262627,B,BAIX
KX262627,B,BAIX
KX262627,B,BAIX
KX262627,B,BAIX
KX262627,B,BAVII
KX262627,B,BAIV
KX262651,B,BAX
KX262651,B,BAX
KX262651,B,BAVII
KX262651,B,BAVII
KX262651,B,BAIV
KX262651,B,BAIX
KX262628,B,BAIX
KX262628,B,BAIX
KX262628,B,BAIX
KX262628,B,BAVII
KX262628,B,BAIX
KX262628,B,BAIV
KX262652,B,BAIX
KX262652,B,BAIX
KX262652,B,BAIX
KX262652,B,BAIX
KX262652,B,BAVII
KX262652,B,BAVII
KX262653,B,BAX
KX262653,B,BAX
KX262653,B,BAVII
KX262653,B,BAVII
KX262653,B,BAIV
KX262653,B,BAIX
KX262654,B,BAIX
KX262654,B,BAIX
KX262654,B,BAIX
KX262654,B,BAVII
KX262654,B,BAIX
KX262629,B,BAIX
KX262629,B,BAIX
KX262629,B,BAIX
KX262629,B,BAVII
KX262629,B,BAIX
KX262629,B,BAIV
KX262655,B,BAX
KX262655,B,BAX
KX262655,B,BAVII
KX262655,B,BAVII
KX262655,B,BAIV
KX262655,B,BAIX
KX262656,B,BAIX
KX262656,B,BAIX
KX262656,B,BAIX
KX262656,B,BAVII
KX262656,B,BAIX
KX262656,B,BAVII
KX262657,B,BAIX
KX262657,B,BAIX
KX262657,B,BAIX
KX262657,B,BAIX
KX262657,B,BAVII
KX262666,B,BAIX
KX262666,B,BAIX
KX262666,B,BAIX
KX262666,B,BAVII
KX262666,B,BAVII
KX262658,B,BAIX
KX262658,B,BAVII
KX262658,B,BAX
KX262658,B,BAIX
KX262658,B,BAVII
KX262658,B,BAX
KX262630,B,BAIX
KX262630,B,BAIX
KX262630,B,BAIX
KX262630,B,BAIX
KX262630,B,BAVII
KX262630,B,BAIV
KX262620,B,BAIX
KX262620,B,BAIX
KX262620,B,BAIX
KX262620,B,BAIX
KX262620,B,BAVII
KX262620,B,BAIV
KX262631,B,BAIX
KX262631,B,BAIX
KX262631,B,BAIX
KX262631,B,BAIX
KX262631,B,BAVII
KX262631,B,BAIV
KX262624,B,BAIX
KX262624,B,BAIX
KX262624,B,BAIX
KX262624,B,BAVII
KX262624,B,BAIX
KX262624,B,BAIV
KX262633,B,BAIX
KX262633,B,BAIX
KX262633,B,BAIX
KX262633,B,BAIX
KX262633,B,BAVII
KX262633,B,BAIV
KX262638,B,BAIX
KX262638,B,BAIX
KX262638,B,BAIX
KX262638,B,BAVII
KX262638,B,BAIX
KX262638,B,BAIV
KX262659,B,BAIX
KX262659,B,BAIX
KX262659,B,BAVII
KX262659,B,BAIX
KX262659,B,BAVII
KX262659,B,BAIV
KX262635,B,BAIX
KX262635,B,BAIX
KX262635,B,BAIX
KX262635,B,BAVII
KX262635,B,BAIX
KX262635,B,BAIV
KX262636,B,BAIX
KX262636,B,BAIX
KX262636,B,BAIX
KX262636,B,BAVII
KX262636,B,BAIX
KX262636,B,BAIV
KX262660,B,BAIX
KX262660,B,BAIX
KX262660,B,BAVII
KX262660,B,BAIX
KX262660,B,BAVII
KX262660,B,BAIX
KX262662,B,BAX
KX262662,B,BAX
KX262662,B,BAVII
KX262662,B,BAVII
KX262662,B,BAIV
KX262662,B,BAIX
KX262632,B,BAIX
KX262632,B,BAIX
KX262632,B,BAIX
KX262632,B,BAVII
KX262632,B,BAIX
KX262632,B,BAIV
KX262634,B,BAIX
KX262634,B,BAIX
KX262634,B,BAIX
KX262634,B,BAIX
KX262634,B,BAVII
KX262634,B,BAIV
KX262661,B,BAIX
KX262661,B,BAIX
KX262661,B,BAVII
