subtype,reference,name,segment,segments,protein_coding,residue_offset,domains
A,NC_038235.1,5' UTR,1,1..44,0,0,[]
A,NC_038235.1,NS1,1,99..518,1,0,"[{""name"": ""DLNP; interaction with MAP1B"", ""abbr"": ""MAP1B"", ""ranges"": [[136, 139]]}]"
A,NC_038235.1,NS2,1,628..1002,1,0,"[{""name"": ""DLNP; interaction with MAP1B"", ""abbr"": ""MAP1B"", ""ranges"": [[121, 124]]}]"
A,NC_038235.1,N,1,1140..2315,1,0,"[{""name"": ""Phosphoprotein interaction"", ""abbr"": ""P"", ""ranges"": [[31, 252]]}, {""name"": ""Phosphoprotein interaction"", ""abbr"": ""P"", ""ranges"": [[244, 290]]}, {""name"": ""Phosphoprotein interaction"", ""abbr"": ""P"", ""ranges"": [[338, 364]]}]"
A,NC_038235.1,P,1,2346..3071,1,0,"[{""name"": ""Binding to monomeric RNA-free nucleoprotein"", ""abbr"": ""N"", ""ranges"": [[1, 30]]}, {""name"": ""Viral particle assembly"", ""abbr"": ""Assembly"", ""ranges"": [[39, 57]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[58, 78]]}, {""name"": ""Binding to host PP1"", ""abbr"": ""PP1"", ""ranges"": [[81, 87]]}, {""name"": ""Binding to M2-1"", ""abbr"": ""M2-1"", ""ranges"": [[90, 110]]}, {""name"": ""Oligomerization, binding to RdRp L"", ""abbr"": ""RdRp L"", ""ranges"": [[120, 160]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[201, 241]]}, {""name"": ""Binding to RdRp L"", ""abbr"": ""RdRp L"", ""ranges"": [[216, 232]]}, {""name"": ""Binding to N-RNA complex"", ""abbr"": ""N-RNA"", ""ranges"": [[232, 241]]}]"
A,NC_038235.1,M,1,3261..4031,1,0,"[{""name"": ""Interaction with M2-1"", ""abbr"": ""M2-1"", ""ranges"": [[1, 110]]}, {""name"": ""Nuclear targeting/binding to host importin KPNB1"", ""abbr"": ""KPNB1"", ""ranges"": [[110, 183]]}, {""name"": ""Nuclear export signal"", ""abbr"": ""NEP"", ""ranges"": [[194, 206]]}]"
A,NC_038235.1,SH,1,4303..4497,1,0,"[{""name"": ""Intravirion"", ""abbr"": ""IV"", ""ranges"": [[1, 20]]}, {""name"": ""Helical; Signal-anchor for M2"", ""abbr"": ""Helical"", ""ranges"": [[21, 44]]}, {""name"": ""Virion surface"", ""abbr"": ""Surface"", ""ranges"": [[45, 64]]}, {""name"": ""Interaction with host BCAP31"", ""abbr"": ""BCAP31"", ""ranges"": [[6, 15]]}, {""name"": ""Interaction with small-molecule inhibitor"", ""abbr"": ""SM"", ""ranges"": [[38, 43]]}]"
A,NC_038235.1,G,1,4688..5584,1,0,"[{""name"": ""Cytoplasmic"", ""abbr"": ""Cyto"", ""ranges"": [[1, 42]]}, {""name"": ""Transmembrane, Helical"", ""abbr"": ""TM"", ""ranges"": [[43, 63]]}, {""name"": ""Extracellular"", ""abbr"": ""EC"", ""ranges"": [[64, 298]]}, {""name"": ""Mature secreted glycoprotein"", ""abbr"": ""Secreted"", ""ranges"": [[66, 298]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[125, 161]]}, {""name"": ""Binding to host heparan sulfate"", ""abbr"": ""HS"", ""ranges"": [[187, 198]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[190, 298]]}]"
A,NC_038235.1,F,1,5661..7385,1,0,"[{""name"": ""Signal peptide"", ""abbr"": ""SP"", ""ranges"": [[1, 25]]}, {""name"": ""F0"", ""abbr"": ""F0"", ""ranges"": [[26, 574]]}, {""name"": ""F2"", ""abbr"": ""F2"", ""ranges"": [[26, 109]]}, {""name"": ""p27"", ""abbr"": ""p27"", ""ranges"": [[110, 136]]}, {""name"": ""F1"", ""abbr"": ""F1"", ""ranges"": [[137, 574]]}, {""name"": ""Extracellular"", ""abbr"": ""EC"", ""ranges"": [[26, 524]]}, {""name"": ""Transmembrane, Helical"", ""abbr"": ""TM"", ""ranges"": [[525, 550]]}, {""name"": ""Cytoplasmic"", ""abbr"": ""Cyto"", ""ranges"": [[551, 574]]}]"
A,NC_038235.1,M2,1,7606..8190;8159..8431,1,0,"[{""name"": ""Zinc finger"", ""abbr"": ""ZF"", ""ranges"": [[1, 28]]}, {""name"": ""Oligomerization"", ""abbr"": ""Oligo"", ""ranges"": [[32, 49]]}, {""name"": ""Globular core"", ""abbr"": ""GC"", ""ranges"": [[76, 171]]}, {""name"": ""Phosphoprotein binding"", ""abbr"": ""P"", ""ranges"": [[126, 163]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[172, 194]]}]"
