Accession ID,genotype
LC037511,A
LC037512,A
LC037528,B
LC037529,A
LC037530,A
LC037531,A
LC037532,A
LC037534,A
LC037535,A
LC037538,A
LC037539,A
LC037744,A
LC037542,A
LC037829,B
LC037543,A
LC037546,A
LC037550,A
LC037767,B
LC037826,B
LC037828,B
LC037724,B
LC037747,B
LC037768,B
LC037831,B
LC037556,A
LC037690,B
LC037748,B
LC037566,B
LC037758,B
LC037569,A
LC037585,B
LC037770,B
LC037595,A
LC037601,B
LC037605,B
LC037606,B
LC037607,B
LC037608,B
LC037609,B
LC037610,B
LC037611,B
LC037612,B
LC037613,B
LC037614,B
LC037616,B
LC037617,B
LC037618,B
LC037619,B
LC037620,B
LC037621,B
LC037622,B
LC037624,B
LC037846,B
LC037763,B
LC037764,B
LC037628,B
LC037629,B
LC037708,B
LC037813,B
LC037815,B
LC037630,B
LC037781,B
LC037631,B
LC037765,B
LC037874,B
LC037632,B
LC037635,B
LC037753,B
LC037754,B
LC037772,B
LC037875,B
LC037636,B
LC037637,B
LC037638,B
LC037876,B
LC037782,B
LC037877,B
LC037783,B
LC037818,B
LC037878,B
LC037640,B
LC037641,B
LC037819,B
LC037642,B
LC037879,B
LC037643,B
LC037766,B
LC037786,B
LC037787,B
LC037788,B
LC037822,B
LC037645,B
LC037824,B
LC037646,B
LC037850,B
LC037825,B
LC037880,B
LC037853,B
LC037481,A
LC037482,A
LC037917,A
LC037920,A
LC037921,A
LC037927,A
LC037924,A
LC037483,A
LC037475,B
LC037652,A
LC037713,B
LC037733,B
LC037734,B
LC037677,B
LC037714,B
LC037656,A
LC037678,B
LC037937,B
LC037938,B
